ccaa;year;coste_laboral_medio
Andalucía;2010;2334,7725
Andalucía;2011;2377,595
Andalucía;2012;2308,8925
Andalucía;2013;2307,345
Andalucía;2014;2301,0775
Andalucía;2015;2330,48
Andalucía;2016;2291,64
Andalucía;2017;2281,9325
Andalucía;2018;2263,0325
Andalucía;2019;2316,0175
Andalucía;2020;2300,8475
Andalucía;2021;2409,815
Andalucía;2022;2514,43
Andalucía;2023;2654,1225
Aragón;2010;2454,63
Aragón;2011;2447,8775
Aragón;2012;2421,6575
Aragón;2013;2460,1425
Aragón;2014;2437,085
Aragón;2015;2477,135
Aragón;2016;2415,2425
Aragón;2017;2426,89
Aragón;2018;2462,53
Aragón;2019;2548,5125
Aragón;2020;2462,065
Aragón;2021;2633,2225
Aragón;2022;2734,66
Aragón;2023;2893,0125
Asturias, Principado De;2010;2526,395
Asturias, Principado De;2011;2523,555
Asturias, Principado De;2012;2489,2975
Asturias, Principado De;2013;2506,81
Asturias, Principado De;2014;2499,8475
Asturias, Principado De;2015;2504,09
Asturias, Principado De;2016;2572,575
Asturias, Principado De;2017;2604,7425
Asturias, Principado De;2018;2619,7025
Asturias, Principado De;2019;2692,485
Asturias, Principado De;2020;2653,88
Asturias, Principado De;2021;2729,2725
Asturias, Principado De;2022;2794,3575
Asturias, Principado De;2023;2926,3875
Balears, Illes;2010;2400,95
Balears, Illes;2011;2419,6725
Balears, Illes;2012;2365,4175
Balears, Illes;2013;2358,6525
Balears, Illes;2014;2386,32
Balears, Illes;2015;2403,265
Balears, Illes;2016;2382,175
Balears, Illes;2017;2433,895
Balears, Illes;2018;2514,6275
Balears, Illes;2019;2543,66
Balears, Illes;2020;2246,8425
Balears, Illes;2021;2456,17
Balears, Illes;2022;2681,5225
Balears, Illes;2023;2935,8
Canarias;2010;2134,34
Canarias;2011;2142,22
Canarias;2012;2107,3725
Canarias;2013;2103,5925
Canarias;2014;2125,12
Canarias;2015;2174,1075
Canarias;2016;2160,7725
Canarias;2017;2169,5425
Canarias;2018;2204,235
Canarias;2019;2239,805
Canarias;2020;2000,9125
Canarias;2021;2160,1475
Canarias;2022;2396,71
Canarias;2023;2518,745
Cantabria;2010;2354,9125
Cantabria;2011;2364,8875
Cantabria;2012;2297,1475
Cantabria;2013;2275,4575
Cantabria;2014;2346,3275
Cantabria;2015;2345,9975
Cantabria;2016;2429,4625
Cantabria;2017;2441,28
Cantabria;2018;2479,23
Cantabria;2019;2541,3925
Cantabria;2020;2487,06
Cantabria;2021;2533,645
Cantabria;2022;2656,595
Cantabria;2023;2764,745
Castilla - La Mancha;2010;2266,8875
Castilla - La Mancha;2011;2318,34
Castilla - La Mancha;2012;2330,8375
Castilla - La Mancha;2013;2329,7525
Castilla - La Mancha;2014;2340,3925
Castilla - La Mancha;2015;2252,585
Castilla - La Mancha;2016;2260,5075
Castilla - La Mancha;2017;2311,02
Castilla - La Mancha;2018;2289,925
Castilla - La Mancha;2019;2330,845
Castilla - La Mancha;2020;2330,2425
Castilla - La Mancha;2021;2435,0075
Castilla - La Mancha;2022;2549,265
Castilla - La Mancha;2023;2676,935
Castilla Y León;2010;2333,745
Castilla Y León;2011;2359,25
Castilla Y León;2012;2345,295
Castilla Y León;2013;2298,05
Castilla Y León;2014;2264,7025
Castilla Y León;2015;2316,99
Castilla Y León;2016;2323,6975
Castilla Y León;2017;2294,52
Castilla Y León;2018;2324,1
Castilla Y León;2019;2370,0425
Castilla Y León;2020;2358,4675
Castilla Y León;2021;2469,265
Castilla Y León;2022;2563,245
Castilla Y León;2023;2699,045
Cataluña;2010;2701,6675
Cataluña;2011;2732,955
Cataluña;2012;2723,7575
Cataluña;2013;2718,1575
Cataluña;2014;2671,0675
Cataluña;2015;2689,0375
Cataluña;2016;2691,0375
Cataluña;2017;2683,1175
Cataluña;2018;2737,955
Cataluña;2019;2816,6375
Cataluña;2020;2711,4925
Cataluña;2021;2909,985
Cataluña;2022;3055,7125
Cataluña;2023;3231,835
Comunitat Valenciana;2010;2268,94
Comunitat Valenciana;2011;2312,975
Comunitat Valenciana;2012;2302,9375
Comunitat Valenciana;2013;2288,4975
Comunitat Valenciana;2014;2249,65
Comunitat Valenciana;2015;2245,4575
Comunitat Valenciana;2016;2263,9875
Comunitat Valenciana;2017;2302,2675
Comunitat Valenciana;2018;2300,175
Comunitat Valenciana;2019;2350,205
Comunitat Valenciana;2020;2291,335
Comunitat Valenciana;2021;2470,665
Comunitat Valenciana;2022;2573,5675
Comunitat Valenciana;2023;2677,3075
Extremadura;2010;2153,9575
Extremadura;2011;2184,17
Extremadura;2012;2144,71
Extremadura;2013;2089,2375
Extremadura;2014;2102,165
Extremadura;2015;2111,56
Extremadura;2016;2097,3125
Extremadura;2017;2081,3425
Extremadura;2018;2090,4375
Extremadura;2019;2164,9225
Extremadura;2020;2100,81
Extremadura;2021;2195,75
Extremadura;2022;2296,3725
Extremadura;2023;2362,4375
Galicia;2010;2251,34
Galicia;2011;2265,345
Galicia;2012;2206,2075
Galicia;2013;2260,175
Galicia;2014;2261,3875
Galicia;2015;2246,155
Galicia;2016;2248,2575
Galicia;2017;2288,87
Galicia;2018;2313,1525
Galicia;2019;2400,5725
Galicia;2020;2361,95
Galicia;2021;2476,6825
Galicia;2022;2551,2225
Galicia;2023;2670,6975
Madrid, Comunidad De;2010;2893,4275
Madrid, Comunidad De;2011;2922,7525
Madrid, Comunidad De;2012;2951,7025
Madrid, Comunidad De;2013;2962,505
Madrid, Comunidad De;2014;3002,2575
Madrid, Comunidad De;2015;3044,445
Madrid, Comunidad De;2016;3008,235
Madrid, Comunidad De;2017;3004,045
Madrid, Comunidad De;2018;3043,82
Madrid, Comunidad De;2019;3089,2975
Madrid, Comunidad De;2020;3072,215
Madrid, Comunidad De;2021;3231,6025
Madrid, Comunidad De;2022;3333,4975
Madrid, Comunidad De;2023;3542,17
Murcia, Región De;2010;2361,8725
Murcia, Región De;2011;2357,0075
Murcia, Región De;2012;2303,42
