ccaa;year;coste_laboral_medio;agricultura_pct;industria_pct;construccion_pct;servicios_pct;pib_per_capita;poblacion_joven_15_24;tasa_actividad_juvenil_16_25
Andalucía;2010;2334,7725;7,8;9,05;8,55;74,55;17567;1017547;46,8925
Andalucía;2011;2377,595;7,675;9,075;7,5;75,75;17299;997621;45,31
Andalucía;2012;2308,8925;7,6;8,95;5,9;77,525;16597;971681;43,0875
Andalucía;2013;2307,345;7,575;8,575;5,25;78,575;16381;948099;41,2275
Andalucía;2014;2301,0775;8,425;8,5;5,125;77,975;16600;928332;39,865
Andalucía;2015;2330,48;7,9;8,275;5,425;78,4;17458;915000;38,2875
Andalucía;2016;2291,64;8,675;8,825;5,675;76,775;17865;904625;35,145
Andalucía;2017;2281,9325;8,925;8,95;5,55;76,55;18691;894698;35,63
Andalucía;2018;2263,0325;8,275;9,175;6,4;76,175;19291;888223;34,6525
Andalucía;2019;2316,0175;8,175;9,425;6,625;75,775;19744;890794;34,9275
Andalucía;2020;2300,8475;8,75;9,925;6,55;74,825;17772;902554;30,9325
Andalucía;2021;2409,815;8,75;9,225;6,925;75,1;19591;912995;33,27
Andalucía;2022;2514,43;7,5;9,1;6,75;76,65;21495;930670;32,86
Andalucía;2023;2654,1225;7,075;8,95;6,575;77,425;23218;;34,5925
Aragón;2010;2454,63;6,25;19,1;9,85;64,775;25375;133771;44,42
Aragón;2011;2447,8775;5,9;19,525;7,475;67,075;25015;129806;42,1775
Aragón;2012;2421,6575;5,875;18,125;6,875;69,125;24008;127549;42,105
Aragón;2013;2460,1425;5,95;17,15;6;70,925;24232;124820;41,9875
Aragón;2014;2437,085;5,35;18,45;5,825;70,425;24557;120642;38,4925
Aragón;2015;2477,135;5,9;20,3;6,075;67,75;25185;118763;37,31
Aragón;2016;2415,2425;6,475;19;5,9;68,675;26243;118221;38,5375
Aragón;2017;2426,89;6,85;18,7;5,4;69,05;27357;119417;37,615
Aragón;2018;2462,53;6,7;20,075;6,075;67,15;28281;120698;36,1275
Aragón;2019;2548,5125;5,85;19,6;6,45;68,1;29043;123870;37,02
Aragón;2020;2462,065;5,6;21,35;6,325;66,75;27003;127278;37,1625
Aragón;2021;2633,2225;6,125;19,775;7,2;66,925;29144;128343;36,5475
Aragón;2022;2734,66;5,925;18,9;6,7;68,45;32562;130143;37,2125
Aragón;2023;2893,0125;5,675;20,15;5,5;68,725;34658;;35,78
Asturias, Principado De;2010;2526,395;3,775;14,5;9,05;72,7;20992;92823;36,4925
Asturias, Principado De;2011;2523,555;3,95;14,2;9,025;72,825;20706;89011;34,9925
Asturias, Principado De;2012;2489,2975;4,375;14,825;8,075;72,675;19867;85421;32,4325
Asturias, Principado De;2013;2506,81;4,75;14,725;6,35;74,15;19475;82078;34,4375
Asturias, Principado De;2014;2499,8475;4,25;15,875;5,35;74,525;19588;79910;30,9425
Asturias, Principado De;2015;2504,09;3,4;15;5,425;76,175;20497;78274;28,7475
Asturias, Principado De;2016;2572,575;3,475;14,85;5,2;76,45;20913;77434;30,625
Asturias, Principado De;2017;2604,7425;3,9;15,125;5,725;75,275;21897;76784;28,07
Asturias, Principado De;2018;2619,7025;4,35;14,35;5,825;75,425;22651;76195;26,1075
Asturias, Principado De;2019;2692,485;3,65;13,7;6,575;76,1;23220;76622;27,6225
Asturias, Principado De;2020;2653,88;3,3;14,1;5,75;76,85;21069;77774;24,8975
Asturias, Principado De;2021;2729,2725;4,35;13,75;6,975;74,925;23446;78468;25,905
Asturias, Principado De;2022;2794,3575;4,175;14,25;6,35;75,2;26361;79202;28,735
Asturias, Principado De;2023;2926,3875;3,275;14,325;7,025;75,4;28130;;29,0175
Balears, Illes;2010;2400,95;1,025;7,8;11,175;80,025;24638;119869;53,8175
Balears, Illes;2011;2419,6725;1,6;7,625;9,575;81,225;24324;116644;49,085
Balears, Illes;2012;2365,4175;1,075;7,2;9,525;82,25;23810;114128;51,0675
Balears, Illes;2013;2358,6525;1,075;5,6;7,825;85,55;23719;112061;46,0575
Balears, Illes;2014;2386,32;1,175;6,6;8,5;83,725;24454;110384;42,9075
Balears, Illes;2015;2403,265;1,05;7,45;8,9;82,6;25732;109757;45,12
Balears, Illes;2016;2382,175;0,85;6,725;9,45;83;26922;110080;42,26
Balears, Illes;2017;2433,895;0,825;7,65;9,675;81,825;28001;111300;42,1825
Balears, Illes;2018;2514,6275;1,6;7,25;8,8;82,325;28906;113378;45,775
Balears, Illes;2019;2543,66;1,025;6,5;11,2;81,275;29458;117011;45,94
Balears, Illes;2020;2246,8425;0,95;6,8;10,825;81,4;22611;121043;36,6
Balears, Illes;2021;2456,17;1,2;6,8;10,425;81,6;25807;120936;35,1375
Balears, Illes;2022;2681,5225;0,65;6,8;10,5;82,05;30997;122599;40,495
Balears, Illes;2023;2935,8;0,5;6,35;9,525;83,65;34381;;40,88
Canarias;2010;2134,34;3,525;5,75;8,975;81,775;19355;244677;44,58
