ccaa;year;agricultura_pct;industria_pct;construccion_pct;servicios_pct
Andalucía;2010;7,8;9,05;8,55;74,55
Andalucía;2011;7,675;9,075;7,5;75,75
Andalucía;2012;7,6;8,95;5,9;77,525
Andalucía;2013;7,575;8,575;5,25;78,575
Andalucía;2014;8,425;8,5;5,125;77,975
Andalucía;2015;7,9;8,275;5,425;78,4
Andalucía;2016;8,675;8,825;5,675;76,775
Andalucía;2017;8,925;8,95;5,55;76,55
Andalucía;2018;8,275;9,175;6,4;76,175
Andalucía;2019;8,175;9,425;6,625;75,775
Andalucía;2020;8,75;9,925;6,55;74,825
Andalucía;2021;8,75;9,225;6,925;75,1
Andalucía;2022;7,5;9,1;6,75;76,65
Andalucía;2023;7,075;8,95;6,575;77,425
Aragón;2010;6,25;19,1;9,85;64,775
Aragón;2011;5,9;19,525;7,475;67,075
Aragón;2012;5,875;18,125;6,875;69,125
Aragón;2013;5,95;17,15;6;70,925
Aragón;2014;5,35;18,45;5,825;70,425
Aragón;2015;5,9;20,3;6,075;67,75
Aragón;2016;6,475;19;5,9;68,675
Aragón;2017;6,85;18,7;5,4;69,05
Aragón;2018;6,7;20,075;6,075;67,15
Aragón;2019;5,85;19,6;6,45;68,1
Aragón;2020;5,6;21,35;6,325;66,75
Aragón;2021;6,125;19,775;7,2;66,925
Aragón;2022;5,925;18,9;6,7;68,45
Aragón;2023;5,675;20,15;5,5;68,725
Asturias, Principado De;2010;3,775;14,5;9,05;72,7
Asturias, Principado De;2011;3,95;14,2;9,025;72,825
Asturias, Principado De;2012;4,375;14,825;8,075;72,675
Asturias, Principado De;2013;4,75;14,725;6,35;74,15
Asturias, Principado De;2014;4,25;15,875;5,35;74,525
Asturias, Principado De;2015;3,4;15;5,425;76,175
Asturias, Principado De;2016;3,475;14,85;5,2;76,45
Asturias, Principado De;2017;3,9;15,125;5,725;75,275
Asturias, Principado De;2018;4,35;14,35;5,825;75,425
Asturias, Principado De;2019;3,65;13,7;6,575;76,1
Asturias, Principado De;2020;3,3;14,1;5,75;76,85
Asturias, Principado De;2021;4,35;13,75;6,975;74,925
Asturias, Principado De;2022;4,175;14,25;6,35;75,2
Asturias, Principado De;2023;3,275;14,325;7,025;75,4
Balears, Illes;2010;1,025;7,8;11,175;80,025
Balears, Illes;2011;1,6;7,625;9,575;81,225
Balears, Illes;2012;1,075;7,2;9,525;82,25
Balears, Illes;2013;1,075;5,6;7,825;85,55
Balears, Illes;2014;1,175;6,6;8,5;83,725
Balears, Illes;2015;1,05;7,45;8,9;82,6
Balears, Illes;2016;0,85;6,725;9,45;83
Balears, Illes;2017;0,825;7,65;9,675;81,825
Balears, Illes;2018;1,6;7,25;8,8;82,325
Balears, Illes;2019;1,025;6,5;11,2;81,275
Balears, Illes;2020;0,95;6,8;10,825;81,4
Balears, Illes;2021;1,2;6,8;10,425;81,6
Balears, Illes;2022;0,65;6,8;10,5;82,05
Balears, Illes;2023;0,5;6,35;9,525;83,65
Canarias;2010;3,525;5,75;8,975;81,775
Canarias;2011;2,8;5;6,675;85,5
Canarias;2012;2,75;5,175;5,875;86,2
Canarias;2013;3,225;5,35;5,65;85,775
Canarias;2014;3,375;4,675;4,975;86,975
Canarias;2015;3;4,55;5,175;87,325
Canarias;2016;2,425;4,975;4,95;87,65
Canarias;2017;2,625;4,1;5,325;87,95
Canarias;2018;2,5;4,275;5,475;87,75
Canarias;2019;2,775;4,525;5,375;87,3
Canarias;2020;3,15;4,8;5,95;86,1
Canarias;2021;3,1;5,375;6,575;84,975
Canarias;2022;2,425;4,65;6,275;86,625
Canarias;2023;2,175;5,05;6,25;86,475
Cantabria;2010;3,025;15,95;9,525;71,525
Cantabria;2011;2,85;16,425;8,15;72,575
Cantabria;2012;3,2;16,25;7,425;73,1
Cantabria;2013;3,825;16,65;7,275;72,275
Cantabria;2014;3,05;16,375;5,8;74,8
Cantabria;2015;3,25;15,25;5,8;75,725
Cantabria;2016;3,15;15,8;6,825;74,225
Cantabria;2017;3;15,1;6,2;75,675
Cantabria;2018;2,75;15,825;7,125;74,35
Cantabria;2019;2,925;15,75;7,425;73,9
Cantabria;2020;2,875;16,7;8,9;71,55
Cantabria;2021;2,225;16,75;7,95;73,025
Cantabria;2022;3,2;16,725;7,125;72,975
Cantabria;2023;2,2;15,95;8,3;73,575
Castilla - La Mancha;2010;6,45;16,1;11,45;66,025
Castilla - La Mancha;2011;6,825;16,125;9,825;67,2
Castilla - La Mancha;2012;7,125;16,725;8,6;67,525
Castilla - La Mancha;2013;7,25;15,85;7,45;69,45
Castilla - La Mancha;2014;7,2;15,475;6,45;70,85
Castilla - La Mancha;2015;6,75;15,45;7,025;70,775
Castilla - La Mancha;2016;6,775;16,025;7,65;69,575
Castilla - La Mancha;2017;7,85;16,35;7,5;68,275
Castilla - La Mancha;2018;6,7;16,35;8,4;68,525
Castilla - La Mancha;2019;6,3;16,5;8,35;68,875
Castilla - La Mancha;2020;6,275;15,65;7,775;70,325
Castilla - La Mancha;2021;7,275;15,625;7,35;69,75
Castilla - La Mancha;2022;7,2;15,2;7,875;69,75
Castilla - La Mancha;2023;6;15,625;8,175;70,225
Castilla Y León;2010;6,45;15,925;9,65;68,025
Castilla Y León;2011;6,75;15,25;8,225;69,775
Castilla Y León;2012;7,325;15,75;8,25;68,7
Castilla Y León;2013;7,225;15,375;7,175;70,225
Castilla Y León;2014;7;16,2;6,5;70,275
Castilla Y León;2015;7,175;16,3;6,95;69,575
Castilla Y León;2016;7,25;16,975;6,475;69,275
Castilla Y León;2017;6,225;17,25;6,8;69,725
Castilla Y León;2018;6,35;18,6;6,75;68,325
Castilla Y León;2019;6,4;17,725;6,525;69,375
Castilla Y León;2020;6,175;17,075;6,95;69,85
Castilla Y León;2021;6,95;16,325;6,725;70
Castilla Y León;2022;6,7;15,525;6,5;71,3
Castilla Y León;2023;6,575;16,025;6,95;70,45
Cataluña;2010;2,1;19,15;8,825;69,95
Cataluña;2011;1,875;18,425;7,7;72,075
Cataluña;2012;1,85;18,6;6,525;73,075
Cataluña;2013;1,775;18,425;6,175;73,6
Cataluña;2014;1,475;18,425;5,975;74,1
Cataluña;2015;1,575;18,9;5,925;73,625
Cataluña;2016;1,625;18,325;5,775;74,3
Cataluña;2017;1,675;18,025;6,375;73,925
Cataluña;2018;1,75;18,65;6,325;73,3
Cataluña;2019;1,5;18,075;5,65;74,775
Cataluña;2020;1,4;17,6;5,975;75
Cataluña;2021;1,625;16,85;6,425;75,15
Cataluña;2022;1,575;17,175;6,4;74,85
Cataluña;2023;1,35;16,8;6,1;75,725
Comunitat Valenciana;2010;2,825;16,5;9,125;71,5
Comunitat Valenciana;2011;2,975;17,55;7,6;71,85
Comunitat Valenciana;2012;3,475;17,35;6,8;72,425
Comunitat Valenciana;2013;3,35;16,825;5,925;73,875
Comunitat Valenciana;2014;3;16,6;5,65;74,7
Comunitat Valenciana;2015;3,65;17,55;6,1;72,7
Comunitat Valenciana;2016;2,8;16,525;5,975;74,7
Comunitat Valenciana;2017;2,875;18,6;6,25;72,275
Comunitat Valenciana;2018;2,975;17,15;6,4;73,5
Comunitat Valenciana;2019;3,1;17,575;6,475;72,85
Comunitat Valenciana;2020;2,45;17,6;6,275;73,65
Comunitat Valenciana;2021;2,525;16,9;6,625;73,925
Comunitat Valenciana;2022;2,675;16,8;6,925;73,6
Comunitat Valenciana;2023;2,2;15,875;7,45;74,475
