ccaa;year;poblacion_joven_15_24
Andalucía;2010;1017547
Andalucía;2011;997621
Andalucía;2012;971681
Andalucía;2013;948099
Andalucía;2014;928332
Andalucía;2015;915000
Andalucía;2016;904625
Andalucía;2017;894698
Andalucía;2018;888223
Andalucía;2019;890794
Andalucía;2020;902554
Andalucía;2021;912995
Andalucía;2022;930670
Aragón;2010;133771
Aragón;2011;129806
Aragón;2012;127549
Aragón;2013;124820
Aragón;2014;120642
Aragón;2015;118763
Aragón;2016;118221
Aragón;2017;119417
Aragón;2018;120698
Aragón;2019;123870
Aragón;2020;127278
Aragón;2021;128343
Aragón;2022;130143
Asturias, Principado De;2010;92823
Asturias, Principado De;2011;89011
Asturias, Principado De;2012;85421
Asturias, Principado De;2013;82078
Asturias, Principado De;2014;79910
Asturias, Principado De;2015;78274
Asturias, Principado De;2016;77434
Asturias, Principado De;2017;76784
Asturias, Principado De;2018;76195
Asturias, Principado De;2019;76622
Asturias, Principado De;2020;77774
Asturias, Principado De;2021;78468
Asturias, Principado De;2022;79202
Balears, Illes;2010;119869
Balears, Illes;2011;116644
Balears, Illes;2012;114128
Balears, Illes;2013;112061
Balears, Illes;2014;110384
Balears, Illes;2015;109757
Balears, Illes;2016;110080
Balears, Illes;2017;111300
Balears, Illes;2018;113378
Balears, Illes;2019;117011
Balears, Illes;2020;121043
Balears, Illes;2021;120936
Balears, Illes;2022;122599
Canarias;2010;244677
Canarias;2011;239584
Canarias;2012;229867
Canarias;2013;224765
Canarias;2014;222123
Canarias;2015;220482
Canarias;2016;220134
Canarias;2017;221227
Canarias;2018;223008
Canarias;2019;226823
Canarias;2020;230913
Canarias;2021;230244
Canarias;2022;232444
Cantabria;2010;55859
Cantabria;2011;53937
Cantabria;2012;52446
Cantabria;2013;50930
Cantabria;2014;49527
Cantabria;2015;48886
Cantabria;2016;48481
Cantabria;2017;48441
Cantabria;2018;48702
Cantabria;2019;49712
Cantabria;2020;51344
Cantabria;2021;52803
Cantabria;2022;54112
Castilla - La Mancha;2010;248232
Castilla - La Mancha;2011;244240
Castilla - La Mancha;2012;238284
Castilla - La Mancha;2013;229571
Castilla - La Mancha;2014;223070
Castilla - La Mancha;2015;217902
Castilla - La Mancha;2016;214039
Castilla - La Mancha;2017;210867
Castilla - La Mancha;2018;209066
