ccaa;year;tasa_actividad_juvenil_16_25
Andalucía;2010;46,8925
Andalucía;2011;45,31
Andalucía;2012;43,0875
Andalucía;2013;41,2275
Andalucía;2014;39,865
Andalucía;2015;38,2875
Andalucía;2016;35,145
Andalucía;2017;35,63
Andalucía;2018;34,6525
Andalucía;2019;34,9275
Andalucía;2020;30,9325
Andalucía;2021;33,27
Andalucía;2022;32,86
Andalucía;2023;34,5925
Aragón;2010;44,42
Aragón;2011;42,1775
Aragón;2012;42,105
Aragón;2013;41,9875
Aragón;2014;38,4925
Aragón;2015;37,31
Aragón;2016;38,5375
Aragón;2017;37,615
Aragón;2018;36,1275
Aragón;2019;37,02
Aragón;2020;37,1625
Aragón;2021;36,5475
Aragón;2022;37,2125
Aragón;2023;35,78
Asturias, Principado De;2010;36,4925
Asturias, Principado De;2011;34,9925
Asturias, Principado De;2012;32,4325
Asturias, Principado De;2013;34,4375
Asturias, Principado De;2014;30,9425
Asturias, Principado De;2015;28,7475
Asturias, Principado De;2016;30,625
Asturias, Principado De;2017;28,07
Asturias, Principado De;2018;26,1075
Asturias, Principado De;2019;27,6225
Asturias, Principado De;2020;24,8975
Asturias, Principado De;2021;25,905
Asturias, Principado De;2022;28,735
Asturias, Principado De;2023;29,0175
Balears, Illes;2010;53,8175
Balears, Illes;2011;49,085
Balears, Illes;2012;51,0675
Balears, Illes;2013;46,0575
Balears, Illes;2014;42,9075
Balears, Illes;2015;45,12
Balears, Illes;2016;42,26
Balears, Illes;2017;42,1825
Balears, Illes;2018;45,775
Balears, Illes;2019;45,94
Balears, Illes;2020;36,6
Balears, Illes;2021;35,1375
Balears, Illes;2022;40,495
Balears, Illes;2023;40,88
Canarias;2010;44,58
Canarias;2011;44,4725
Canarias;2012;43,9875
Canarias;2013;43,575
Canarias;2014;40,11
Canarias;2015;39,5875
Canarias;2016;36,65
Canarias;2017;37,9225
Canarias;2018;36,69
Canarias;2019;37,7175
Canarias;2020;30,6125
Canarias;2021;30,6025
Canarias;2022;32,1625
Canarias;2023;37,49
Cantabria;2010;38,9325
Cantabria;2011;36,2075
Cantabria;2012;31,49
Cantabria;2013;30,4775
Cantabria;2014;28,4975
Cantabria;2015;28,455
Cantabria;2016;29,1475
Cantabria;2017;30,1425
Cantabria;2018;26,01
Cantabria;2019;24,88
Cantabria;2020;25,4275
Cantabria;2021;25,505
Cantabria;2022;27,135
Cantabria;2023;29,02
Castilla - La Mancha;2010;49,32
Castilla - La Mancha;2011;46,8075
Castilla - La Mancha;2012;43,8225
Castilla - La Mancha;2013;42,5375
Castilla - La Mancha;2014;41,1225
Castilla - La Mancha;2015;38,1
Castilla - La Mancha;2016;36,97
Castilla - La Mancha;2017;38,1375
Castilla - La Mancha;2018;37,815
Castilla - La Mancha;2019;36,935
Castilla - La Mancha;2020;32,265
Castilla - La Mancha;2021;35,285
Castilla - La Mancha;2022;36,6175
Castilla - La Mancha;2023;37,11
Castilla Y León;2010;42,9975
Castilla Y León;2011;41,8475
Castilla Y León;2012;38,035
Castilla Y León;2013;35,93
Castilla Y León;2014;33,4225
Castilla Y León;2015;32,915
Castilla Y León;2016;33,625
Castilla Y León;2017;32,305
Castilla Y León;2018;32,745
Castilla Y León;2019;33,675
Castilla Y León;2020;31,565
Castilla Y León;2021;30,6
Castilla Y León;2022;32,25
Castilla Y León;2023;31,405
Cataluña;2010;52,665
Cataluña;2011;51,33
Cataluña;2012;48,915
Cataluña;2013;48,775
Cataluña;2014;45,7875
Cataluña;2015;43,7625
Cataluña;2016;41,775
Cataluña;2017;43,1575
Cataluña;2018;43,9575
Cataluña;2019;45,1775
Cataluña;2020;41,365
Cataluña;2021;42,3375
Cataluña;2022;45,35
Cataluña;2023;45,71
Comunitat Valenciana;2010;49,27
Comunitat Valenciana;2011;45,605
Comunitat Valenciana;2012;43,8875
Comunitat Valenciana;2013;42,9675
Comunitat Valenciana;2014;40,955
Comunitat Valenciana;2015;40,965
Comunitat Valenciana;2016;39,93
Comunitat Valenciana;2017;41,915
Comunitat Valenciana;2018;38,2275
Comunitat Valenciana;2019;37,0975
Comunitat Valenciana;2020;35,4125
Comunitat Valenciana;2021;36,455
Comunitat Valenciana;2022;37,515
Comunitat Valenciana;2023;38,2375
Extremadura;2010;44,435
Extremadura;2011;41,8675
Extremadura;2012;43,64
Extremadura;2013;42,095
Extremadura;2014;37,59
Extremadura;2015;36,84
Extremadura;2016;37,1125
Extremadura;2017;34,82
Extremadura;2018;33,3325
Extremadura;2019;34,8875
Extremadura;2020;33,0275
Extremadura;2021;32,435
Extremadura;2022;30,75
Extremadura;2023;30,215
Galicia;2010;40,31
Galicia;2011;38,5075
Galicia;2012;38,1125
Galicia;2013;35,175
Galicia;2014;34,4925
Galicia;2015;32,005
Galicia;2016;31,5375
Galicia;2017;31,3325
Galicia;2018;29,7525
Galicia;2019;28,95
Galicia;2020;25,9075
Galicia;2021;25,1925
Galicia;2022;27,6825
Galicia;2023;29,28
